Month,Year,Median Home Values (in thousands of dollars),30-year Fixed Mortgage Rate (%),Private Housing Permits (in thousands),Total Vehicle Sales (in thousands),Discount Rate (%),Personal Savings Rate (%),Real Disposable Personal Income: Per Capita (in thousands of dollars),Industrial Production Index (%),Commercial and Industrial Loans (in thousands of dollars),CPI for All Urban Consumers (%),Seasonally Adjusted Unemployment Rate (%),Federal Funds Effective Rate (%),S&P500 price close at end of the month (^GSPC) (dollars)
March,2015,205.26,3.77,92.50,17894.00,0.75,7.70,41.18,101.81,1834756500.00,236.12,5.40,0.11,2085.51
April,2015,207.36,3.67,106.00,17689.00,0.75,7.60,41.25,101.23,1847559300.00,236.60,5.40,0.12,2107.39
May,2015,210.41,3.84,111.90,17945.00,0.75,7.50,41.29,100.75,1863304800.00,237.81,5.60,0.12,2063.11
June,2015,212.42,3.98,134.80,17881.00,0.75,7.40,41.29,100.45,1880071000.00,238.64,5.30,0.13,2103.84
July,2015,213.18,4.05,103.20,18305.00,0.75,7.30,41.36,101.11,1889401500.00,238.65,5.20,0.13,1972.18
August,2015,212.54,3.91,98.40,18407.00,0.75,7.30,41.42,100.88,1903478600.00,238.32,5.10,0.14,1920.03
September,2015,212.43,3.89,98.30,18273.00,0.75,7.40,41.50,100.61,1915243900.00,237.95,5.00,0.14,2079.36
October,2015,212.48,3.80,99.30,18272.00,0.75,7.50,41.56,100.15,1929765700.00,237.84,5.00,0.12,2080.41
November,2015,212.77,3.94,91.00,18320.00,0.75,7.30,41.53,99.38,1946080300.00,237.34,5.10,0.12,2043.94
December,2015,212.46,3.96,97.50,17492.00,1.00,7.40,41.70,98.86,1952975600.00,236.53,5.00,0.24,1940.24
January,2016,212.35,3.87,76.20,18070.00,1.00,7.70,41.83,99.41,1963855000.00,236.92,4.80,0.34,1932.23
February,2016,212.95,3.66,86.30,18080.00,1.00,7.20,41.85,98.89,1987136700.00,237.11,4.90,0.38,2059.74
March,2016,216.70,3.69,99.80,17290.00,1.00,7.60,41.83,98.14,2019220400.00,238.13,5.00,0.36,2065.30
April,2016,219.17,3.61,101.90,17664.00,1.00,7.20,41.73,98.44,2033008200.00,239.26,5.10,0.37,2096.95
May,2016,221.84,3.60,110.30,17697.00,1.00,6.90,41.68,98.21,2047804700.00,240.23,4.80,0.37,2098.86
June,2016,224.05,3.57,117.60,17728.00,1.00,6.60,41.67,98.68,2050670000.00,241.02,4.90,0.38,2173.60
July,2016,225.03,3.44,97.90,18123.00,1.00,6.80,41.78,98.84,2057731100.00,240.63,4.80,0.39,2170.95
August,2016,224.93,3.44,111.60,17917.00,1.00,6.80,41.79,98.73,2051341500.00,240.85,4.90,0.40,2168.27
September,2016,225.03,3.46,111.70,17949.00,1.00,6.80,41.85,98.63,2070219300.00,241.43,5.00,0.40,2126.15
October,2016,225.01,3.47,104.00,17966.00,1.00,6.90,41.88,98.71,2085767500.00,241.73,4.90,0.40,2198.81
November,2016,225.28,3.77,94.50,17785.00,1.00,7.00,41.95,98.30,2089148300.00,241.35,4.70,0.41,2238.83
December,2016,225.47,4.20,94.80,18278.00,1.25,6.50,42.01,98.91,2083782300.00,241.43,4.70,0.54,2278.87
January,2017,224.62,4.15,90.60,17654.00,1.25,6.90,42.18,98.73,2082380100.00,242.84,4.70,0.65,2363.64
February,2017,226.56,4.17,86.90,17702.00,1.25,7.20,42.27,98.42,2082491300.00,243.60,4.60,0.66,2362.72
March,2017,230.06,4.20,115.30,17047.00,1.50,7.20,42.43,99.07,2066433400.00,243.80,4.40,0.79,2384.20
April,2017,233.22,4.05,105.00,17188.00,1.50,7.30,42.48,100.05,2067026300.00,244.52,4.40,0.90,2411.80
May,2017,235.97,4.01,115.30,17070.00,1.50,7.80,42.74,100.14,2071370300.00,244.73,4.40,0.91,2423.41
June,2017,237.64,3.90,130.80,17122.00,1.75,7.50,42.72,100.31,2072798900.00,244.96,4.30,1.04,2470.30
July,2017,238.72,3.97,102.90,17251.00,1.75,7.60,42.81,100.14,2076156800.00,244.79,4.30,1.15,2471.65
August,2017,239.32,3.88,122.10,17040.00,1.75,7.60,42.81,99.69,2084007700.00,245.52,4.40,1.16,2519.36
September,2017,239.09,3.81,103.30,18318.00,1.75,7.30,42.83,99.78,2102812600.00,246.82,4.30,1.15,2575.26
October,2017,238.93,3.90,116.30,18484.00,1.75,7.40,42.90,101.04,2112032200.00,246.66,4.20,1.15,2647.58
November,2017,239.73,3.92,98.80,17995.00,1.75,6.90,42.91,101.23,2104858400.00,246.67,4.20,1.16,2673.61
